case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
3.0,50.0,1.0,4.0,2.0,0.8240000000000001,0.736,0.44,0.4679999999999999
3.0,50.0,1.0,4.0,3.0,0.744,0.6719999999999999,0.44,0.44
3.0,50.0,2.0,1.0,1.0,0.22,0.208,0.036,0.052
3.0,50.0,2.0,1.0,2.0,0.068,0.1399999999999999,0.02,0.02
3.0,50.0,2.0,1.0,3.0,0.052,0.128,0.02,0.02
3.0,50.0,2.0,2.0,1.0,0.3333333333333333,0.6733333333333333,0.36,0.36
3.0,50.0,2.0,2.0,2.0,0.3133333333333333,0.4866666666666666,0.36,0.36
3.0,50.0,2.0,2.0,3.0,0.3066666666666666,0.3533333333333333,0.3,0.3
3.0,50.0,2.0,3.0,1.0,0.5428571428571428,0.6342857142857143,0.2742857142857143,0.4257142857142857
3.0,50.0,2.0,3.0,2.0,0.36,0.6114285714285714,0.2742857142857143,0.2742857142857143
3.0,50.0,2.0,3.0,3.0,0.3371428571428571,0.5057142857142857,0.2742857142857143,0.2742857142857143
3.0,50.0,2.0,4.0,1.0,0.648,0.716,0.424,0.424
3.0,50.0,2.0,4.0,2.0,0.588,0.634,0.364,0.364
3.0,50.0,2.0,4.0,3.0,0.528,0.542,0.364,0.364
3.0,50.0,3.0,1.0,1.0,0.13,0.24,0.05,0.07
3.0,50.0,3.0,1.0,2.0,0.09,0.14,0.03,0.04
3.0,50.0,3.0,1.0,3.0,0.08,0.09,0.02,0.02
3.0,50.0,3.0,2.0,1.0,0.5914285714285714,0.74,0.3,0.3
3.0,50.0,3.0,2.0,2.0,0.5057142857142857,0.5885714285714286,0.3,0.3
3.0,50.0,3.0,2.0,3.0,0.4485714285714285,0.3828571428571428,0.3,0.3
3.0,50.0,3.0,3.0,1.0,0.4549999999999999,0.675,0.26,0.42
3.0,50.0,3.0,3.0,2.0,0.32,0.605,0.26,0.26
3.0,50.0,3.0,3.0,3.0,0.295,0.475,0.26,0.26
3.0,50.0,3.0,4.0,1.0,0.798,0.86,0.40,0.48
3.0,50.0,3.0,4.0,2.0,0.6060606061,0.84,0.12,0.12
3.0,50.0,3.0,4.0,3.0,0.6060606061,0.76,0.12,0.12
