case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
1.0,50.0,1.0,3.0,1.0,0.44000000000000006,0.8400000000000001,0.48,0.66
1.0,50.0,1.0,3.0,2.0,0.4,0.76,0.48,0.48
1.0,50.0,1.0,3.0,3.0,0.36,0.616,0.22000000000000003,0.22000000000000003
1.0,50.0,1.0,4.0,1.0,0.4,0.835,0.54,0.54
1.0,50.0,1.0,4.0,2.0,0.36,0.6875,0.44,0.44
1.0,50.0,1.0,4.0,3.0,0.32,0.63,0.44,0.44
1.0,50.0,2.0,1.0,1.0,0.2,0.248,0.04,0.06
1.0,50.0,2.0,1.0,2.0,0.18,0.12000000000000002,0.02,0.02
1.0,50.0,2.0,1.0,3.0,0.02,0.156,0.02,0.02
1.0,50.0,2.0,2.0,1.0,0.36,0.8049999999999999,0.38,0.38
1.0,50.0,2.0,2.0,2.0,0.36,0.585,0.38,0.38
1.0,50.0,2.0,2.0,3.0,0.16,0.49,0.38,0.38
1.0,50.0,2.0,3.0,1.0,0.26,0.79,0.28,0.46
1.0,50.0,2.0,3.0,2.0,0.24,0.69,0.28,0.28
1.0,50.0,2.0,3.0,3.0,0.22,0.54,0.28,0.28
1.0,50.0,2.0,4.0,1.0,0.34,0.8057142857142858,0.48,0.48
1.0,50.0,2.0,4.0,2.0,0.3,0.7228571428571428,0.38,0.38
1.0,50.0,2.0,4.0,3.0,0.26,0.6085714285714285,0.38,0.38
1.0,50.0,3.0,1.0,1.0,0.12000000000000001,0.18222222222222223,0.060000000000000005,0.08
1.0,50.0,3.0,1.0,2.0,0.12000000000000001,0.16444444444444445,0.04,0.060000000000000005
1.0,50.0,3.0,1.0,3.0,0.1,0.1111111111111111,0.02,0.02
1.0,50.0,3.0,2.0,1.0,0.62,0.736,0.3,0.3
1.0,50.0,3.0,2.0,2.0,0.6,0.58,0.3,0.3
1.0,50.0,3.0,2.0,3.0,0.58,0.396,0.3,0.3
1.0,50.0,3.0,3.0,1.0,0.26,0.756,0.28,0.4600000000000001
1.0,50.0,3.0,3.0,2.0,0.24,0.724,0.28,0.28
1.0,50.0,3.0,3.0,3.0,0.22000000000000003,0.536,0.28,0.28
1.0,50.0,3.0,4.0,1.0,0.1,0.8125,0.22,0.48
1.0,50.0,3.0,4.0,2.0,0.1,0.6174999999999999,0.12,0.12
1.0,50.0,3.0,4.0,3.0,0.1,0.6975,0.12,0.12
2.0,10.0,1.0,1.0,1.0,0.45,0.3833333333333333,0.20000000000000004,0.20000000000000004
2.0,10.0,1.0,1.0,2.0,0.20000000000000004,0.25,0.20000000000000004,0.20000000000000004
2.0,10.0,1.0,1.0,3.0,0.13333333333333333,0.25,0.20000000000000004,0.20000000000000004
2.0,10.0,1.0,2.0,1.0,0.5,0.6333333333333333,0.6999999999999998,0.6999999999999998
2.0,10.0,1.0,2.0,2.0,0.3,0.4000000000000001,0.4000000000000001,0.4000000000000001
2.0,10.0,1.0,2.0,3.0,0.3,0.4000000000000001,0.3,0.3
2.0,10.0,1.0,3.0,1.0,0.4000000000000001,0.65,0.5,0.5
2.0,10.0,1.0,3.0,2.0,0.31666666666666665,0.45,0.4000000000000001,0.4000000000000001
2.0,10.0,1.0,3.0,3.0,0.21666666666666667,0.39999999999999997,0.4000000000000001,0.4000000000000001
2.0,10.0,1.0,4.0,1.0,0.5,0.76,0.5,0.5
2.0,10.0,1.0,4.0,2.0,0.48,0.54,0.5,0.5
2.0,10.0,1.0,4.0,3.0,0.38,0.45999999999999996,0.5,0.5
2.0,10.0,2.0,1.0,1.0,0.5875,0.425,0.2,0.3
2.0,10.0,2.0,1.0,2.0,0.30000000000000004,0.35,0.1,0.1
2.0,10.0,2.0,1.0,3.0,0.25,0.3125,0.1,0.1
2.0,10.0,2.0,2.0,1.0,0.375,0.5,0.4,0.4
2.0,10.0,2.0,2.0,2.0,0.35,0.425,0.375,0.375
2.0,10.0,2.0,2.0,3.0,0.3,0.275,0.3,0.3
2.0,10.0,2.0,3.0,1.0,0.38,0.54,0.45999999999999996,0.45999999999999996
2.0,10.0,2.0,3.0,2.0,0.27999999999999997,0.4,0.4,0.4
